  reported      58%   (battery service)
  charger       not charging   (P0.17 ~CHG)
  computed      3,789 mV -> 58%
  at the pin    1,280 mV   (1,457 raw counts)
  divider off   3,956 raw counts
  control       3,301 mV for the 3.3V rail   (ADC is sound)
  divider       P0.14 LOW - enabled
  errors        none

  >> the gauge is reading the cell

  sampling every 5 min for 1440 min, every 1 min below 3,600 mV

  09:59:40  t+   0.0min  3,795 mV   59%  on cell   (pin 1,282 mV, vdd 3,300 mV)
  10:04:41  t+   5.1min  3,834 mV   68%  on cell   (pin 1,295 mV, vdd 3,306 mV)
  10:09:43  t+  10.1min  3,789 mV   58%  on cell   (pin 1,280 mV, vdd 3,304 mV)
  10:14:45  t+  15.1min  3,780 mV   56%  on cell   (pin 1,277 mV, vdd 3,304 mV)
  10:19:47  t+  20.2min  3,819 mV   64%  on cell   (pin 1,290 mV, vdd 3,304 mV)
  10:24:52  t+  25.2min  3,780 mV   56%  on cell   (pin 1,277 mV, vdd 3,302 mV)
  10:29:53  t+  30.3min  3,780 mV   56%  on cell   (pin 1,277 mV, vdd 3,306 mV)
  10:34:55  t+  35.3min  3,777 mV   55%  on cell   (pin 1,276 mV, vdd 3,304 mV)
  10:39:58  t+  40.4min  3,742 mV   49%  on cell   (pin 1,264 mV, vdd 3,302 mV)
  10:45:00  t+  45.4min  3,783 mV   56%  on cell   (pin 1,278 mV, vdd 3,308 mV)
  10:50:01  t+  50.4min  3,733 mV   48%  on cell   (pin 1,261 mV, vdd 3,296 mV)
  10:55:04  t+  55.5min  3,736 mV   48%  on cell   (pin 1,262 mV, vdd 3,301 mV)
  11:00:06  t+  60.5min  3,751 mV   50%  on cell   (pin 1,267 mV, vdd 3,302 mV)
  11:05:09  t+  65.5min  3,739 mV   49%  on cell   (pin 1,263 mV, vdd 3,303 mV)
  11:10:12  t+  70.6min  3,745 mV   49%  on cell   (pin 1,265 mV, vdd 3,302 mV)
  11:15:14  t+  75.6min  3,739 mV   49%  on cell   (pin 1,263 mV, vdd 3,307 mV)
  11:20:16  t+  80.6min  3,754 mV   50%  on cell   (pin 1,268 mV, vdd 3,298 mV)
  11:25:18  t+  85.7min  3,801 mV   60%  on cell   (pin 1,284 mV, vdd 3,303 mV)
  11:30:22  t+  90.8min  3,780 mV   56%  on cell   (pin 1,277 mV, vdd 3,295 mV)
  11:35:23  t+  95.8min  3,766 mV   53%  on cell   (pin 1,272 mV, vdd 3,305 mV)
  11:40:31  t+ 100.9min  3,751 mV   50%  on cell   (pin 1,267 mV, vdd 3,298 mV)
  11:45:32  t+ 105.9min  3,760 mV   51%  on cell   (pin 1,270 mV, vdd 3,306 mV)
  11:50:35  t+ 111.0min  3,736 mV   48%  on cell   (pin 1,262 mV, vdd 3,299 mV)
  11:55:37  t+ 116.0min  3,715 mV   46%  on cell   (pin 1,255 mV, vdd 3,303 mV)
  12:00:39  t+ 121.0min  3,739 mV   49%  on cell   (pin 1,263 mV, vdd 3,293 mV)
  12:05:40  t+ 126.1min  3,766 mV   53%  on cell   (pin 1,272 mV, vdd 3,299 mV)
  12:10:42  t+ 131.1min  3,754 mV   50%  on cell   (pin 1,268 mV, vdd 3,303 mV)
  12:15:45  t+ 136.1min  3,754 mV   50%  on cell   (pin 1,268 mV, vdd 3,304 mV)
